"id","text","expected_label","expected_terms","notes"
"F04","The article praised the founder as a girl boss in technology.","FEMALE-BIASED","girl boss","infantilizing gendered label"
"F05","The contract described the tenant as a spinster.","FEMALE-BIASED","spinster","gendered and stigmatizing term"
"F06","The company reserved the front row for female employees.","FEMALE-BIASED","female employees","unnecessary gender qualifier"
"F07","The waitress brought the invoice after the meal.","FEMALE-BIASED","waitress","female-gendered job title"
"F08","The actress received the award for the lead role.","FEMALE-BIASED","actress","female-gendered job title"
"F09","The panel invited female professionals to sit separately from the rest of the staff.","FEMALE-BIASED","female professionals","unnecessary gender qualifier"
"F10","The job post says women are naturally better at client care.","FEMALE-BIASED","women are naturally better","gender superiority claim"
"F11","The policy assumes women are better suited for office support.","FEMALE-BIASED","women are better suited","gender-based role assignment"
"F12","The manager asked for a nurturing personality for the assistant role.","FEMALE-BIASED","nurturing","gendered trait stereotype tagged female"
"F13","The training manual said the housewife audience needs simple explanations.","FEMALE-BIASED","housewife","female-gendered domestic role"
"F14","A lady doctor was assigned to explain the procedure to the family.","FEMALE-BIASED","lady doctor","unnecessary gender qualifier"
"F15","The supervisor wanted female professionals for the hospitality desk.","FEMALE-BIASED","female professionals","unnecessary gender qualifier"
"X01","The chairman asked the stewardess to prepare the room.","MIXED-BIAS","chairman|stewardess","male and female terms"
"X02","The businessman thanked the housewife for organizing the documents.","MIXED-BIAS","businessman|housewife","male and female terms"
"X03","The fireman spoke with the lady doctor after the event.","MIXED-BIAS","fireman|lady doctor","male and female terms"
"X04","The congressman praised the girl boss during the ceremony.","MIXED-BIAS","congressman|girl boss","male and female terms"
"X05","The salesman asked the waitress to distribute the flyers.","MIXED-BIAS","salesman|waitress","male and female terms"
"X06","The report called the leader bossy during negotiations.","MIXED-BIAS","bossy","stereotype-only detection maps to mixed bias"
"X07","The employee was described as overly emotional after raising concerns.","MIXED-BIAS","overly emotional","stereotype-only detection maps to mixed bias"
"X08","The article labeled the protest response as hysterical.","MIXED-BIAS","hysterical","stereotype-only detection maps to mixed bias"
"X09","The review called the candidate aggressive without supporting evidence.","MIXED-BIAS","aggressive","stereotype-only detection maps to mixed bias"
"X10","The manual says women are more emotional in stressful projects.","MIXED-BIAS","women are more emotional|more emotional","stereotype phrase plus nested phrase"
"X11","The guide says men are natural leaders in technical teams.","MALE-BIASED","men are natural leaders","male stereotype phrase"
"X12","The article argues men are better at executive decisions.","MALE-BIASED","men are better","male superiority phrase"
"X13","The policy says some staff belong in supportive roles.","MIXED-BIAS","supportive roles","stereotype phrase"
"X14","The note said the group was better suited to supportive work.","MIXED-BIAS","better suited to supportive","stereotype phrase"
"X15","The chairman was called bossy after the board debate.","MALE-BIASED","chairman|bossy","male term plus stereotype"
"N01","The chairperson opened the meeting and assigned tasks to the team.","GENDER-NEUTRAL","","neutral replacement for chairman"
"N02","The company needs more workforce capacity to finish the migration.","GENDER-NEUTRAL","","neutral replacement for manpower"
"N03","Every businessperson in the room reviewed the quarterly proposal.","GENDER-NEUTRAL","","neutral replacement for businessman"
"N04","Several businesspeople attended the investor briefing before lunch.","GENDER-NEUTRAL","","neutral replacement for businessmen"
"N05","The firefighter arrived before the emergency response report was filed.","GENDER-NEUTRAL","","neutral replacement for fireman"
"N06","The firefighters completed the rescue drill after sunset.","GENDER-NEUTRAL","","neutral replacement for firemen"
"N07","A police officer directed traffic outside the school entrance.","GENDER-NEUTRAL","","neutral replacement for policeman"
"N08","The police officers escorted visitors through the restricted area.","GENDER-NEUTRAL","","neutral replacement for policemen"
"N09","The report said humankind has always depended on innovation.","GENDER-NEUTRAL","","neutral replacement for mankind"
"N10","The brochure described the device as an artificial solution.","GENDER-NEUTRAL","","neutral replacement for man-made"
"N11","The mail carrier delivered the notice to the front desk.","GENDER-NEUTRAL","","neutral replacement for mailman"
"N12","The congressperson sponsored the local education bill.","GENDER-NEUTRAL","","neutral replacement for congressman"
"N13","Three congress members attended the hearing on public safety.","GENDER-NEUTRAL","","neutral replacement for congressmen"
"N14","The camera operator recorded the ceremony from the balcony.","GENDER-NEUTRAL","","neutral replacement for cameraman"
"N15","The salesperson called every client before the product launch.","GENDER-NEUTRAL","","neutral replacement for salesman"
"N16","The salespeople prepared the booths for the trade show.","GENDER-NEUTRAL","","neutral replacement for salesmen"
"N17","The spokesperson answered questions after the press conference.","GENDER-NEUTRAL","","neutral replacement for spokesman"
"N18","The foreperson approved the final construction schedule.","GENDER-NEUTRAL","","neutral replacement for foreman"
"N19","The repair technician fixed the office printer before noon.","GENDER-NEUTRAL","","neutral replacement for repairman"
"N20","The policy gives employees equal access to leadership training.","GENDER-NEUTRAL","","neutral replacement for gender qualifier"
"N21","The flight attendant welcomed passengers as they boarded the aircraft.","GENDER-NEUTRAL","","neutral replacement for stewardess"
"N22","The homemaker prepared refreshments for the community meeting.","GENDER-NEUTRAL","","neutral replacement for housewife"
"N23","The doctor reviewed the patient chart before surgery.","GENDER-NEUTRAL","","neutral replacement for lady doctor"
"N24","The article praised the founder as a leader in technology.","GENDER-NEUTRAL","","neutral replacement for girl boss"
"N25","The contract described the tenant as an unmarried person.","GENDER-NEUTRAL","","neutral replacement for spinster"
"N26","The company reserved the front row for employees from every department.","GENDER-NEUTRAL","","neutral replacement for female employees"
"N27","The server brought the invoice after the meal.","GENDER-NEUTRAL","","neutral replacement for waitress"
"N28","The actor received the award for the lead role.","GENDER-NEUTRAL","","neutral replacement for actress"
"N29","The panel invited professionals to join the discussion.","GENDER-NEUTRAL","","neutral replacement for female professionals"
"N30","The manager asked for a supportive personality for the assistant role.","GENDER-NEUTRAL","","neutral replacement for nurturing"
